"","R0_average","Case_average_onset","CCase_average_onset","Inf_quantile_n_average","H_quantile_n_average"
"1",12.3032231371008,0,0,0,0
"2",28.6591614024965,0.08,0.004,9.211989912159,0.00476116447735559
"3",10.593930436768,0.52,0.063,12.2384548107417,0.00883406871171197
"4",4.33082491604987,1.08,0.173,13.4017961916321,0.0131563484808422
"5",2.2507447164779,1.54,0.347,13.8252336720074,0.0195786925609436
"6",1.37725322311168,1.79,0.52,13.7822705081584,0.0297408635597284
"7",0.779675797500461,1.73,0.672,13.1506139860398,0.0445065994178286
"8",0.640661170090592,2.11,0.882,12.5249457782746,0.0639030307107634
"9",0.561193844382342,1.94,1.076,11.9284814572745,0.0872765482160773
"10",0.541361480997418,1.58,1.251,11.4179139070028,0.113543773499634
"11",0.545756508157148,1.95,1.456,11.0347146956597,0.141460756438614
"12",0.57059663149198,1.69,1.631,10.8759164254521,0.169832005349402
"13",0.568397694355544,1.65,1.79,10.8808523064149,0.197645563047116
"14",0.641246582861596,1.48,1.975,11.1392859248345,0.224148452526378
"15",0.684294197296669,1.62,2.069,11.5184926207452,0.248870905880311
"16",0.906443250028993,1.68,2.249,12.5335699434395,0.271615370293935
"17",1.09971620864902,1.69,2.425,13.9573557488379,0.292424487316345
"18",0.977782043806894,1.93,2.712,15.0346572469675,0.3115756962221
"19",1.00928110039867,1.94,2.843,16.1175830613159,0.329569870818598
"20",0.985304970137374,2.35,2.95,16.9919388043332,0.347022132616218
"21",0.980149658055442,2.34,3.228,17.9053690442411,0.364530136453208
"22",0.722954188146543,2.56,3.486,17.9681387059001,0.382585954034335
"23",0.70908194087507,2.61,3.814,18.1505516258808,0.401531017725125
"24",0.560658380327115,2.36,4.007,17.8168760620941,0.421490340542247
"25",0.437355229672345,2.77,4.376,16.923322346064,0.442359350799058
"26",0.400711691362053,2.37,4.738,15.997833473523,0.463828470506027
"27",0.41928822142503,2.5,4.889,15.2658300856916,0.485385019519018
"28",0.481633807204999,2.24,4.976,14.8157969197422,0.506373924122834
"29",0.458510809481363,2.14,5.338,14.516201618048,0.52612713981512
"30",0.4799498767131,2.29,5.542,14.3560029476306,0.544094827979127
"31",0.482245216113752,2.29,5.694,14.2164920000844,0.559920014374585
"32",0.507666844557264,2.13,5.954,14.2795019522154,0.573450341858528
"33",0.495068820747649,1.94,6.24,14.1878781551983,0.584707584374895
"34",0.600022621657108,1.91,6.402,14.5130990897291,0.59384891849412
"35",0.598044030990683,1.97,6.485,14.8325447741151,0.601116486448137
"36",0.517082402175002,2.3,6.777,14.8024957820415,0.606818301322107
"37",0.543395054429906,1.89,7.078,14.821800321089,0.611310695010779
"38",0.559234555702582,2.17,7.277,14.9229631944107,0.614926788024242
"39",0.587251548739001,1.98,7.376,15.0379065395906,0.617928466998186
"40",0.464229514921159,2.29,7.801,14.6696392016282,0.62051419664622
"41",0.559900198249399,2.09,7.811,14.6286621887774,0.622830900460235
"42",0.588323183999035,2.18,8,14.7059881298759,0.624944310611824
"43",0.542013146570093,2.21,8.314,14.5560681477528,0.626854084152011
"44",0.488223996284012,2.13,8.671,14.3037298791279,0.62855067720873
"45",0.440017931102654,2.12,8.744,13.8603195536685,0.630020302849783
"46",0.500924709195983,1.97,8.913,13.7061205117288,0.631220319496004
"47",0.503388337310341,2.02,9.034,13.6264279856364,0.632064364859072
"48",0.52937457472336,2.07,9.175,13.6585309577583,0.63245629351127
"49",0.592009513751612,2.06,9.654,13.8984375308695,0.632339840134826
"50",0.590295197537734,2.1,9.685,14.0186469485608,0.631723773602671
"51",0.558655275977414,2.22,9.924,13.965983916259,0.630693981386985
"52",0.540768443376794,1.88,10.233,13.8775936035864,0.629387117595291
"53",0.461738138001059,2.05,10.298,13.5068917246694,0.627933368614016
"54",0.504915976130707,2.05,10.55,13.2878536016827,0.62641551629681
"55",0.433727810967091,2.1,10.746,12.8080244857925,0.624841676570987
"56",0.461651848622947,2.05,10.812,12.454757840803,0.62315402835301
"57",0.430331170282424,2.03,11.187,12.0655082883173,0.621244247280026
